Player,Current_Team
N Thushara,Royal Challengers Bengaluru (RCB)
JD Unadkat,Sunrisers Hyderabad (SRH)
RK Singh,Punjab Kings (PBKS)
C Bosch,Chennai Super Kings (CSK)
Yudhvir Singh,Rajasthan Royals (RR)
Ashwani Kumar,Mumbai Indians (MI)
Akash Singh,Lucknow Super Giants (LSG)
RK Singh,Chennai Super Kings (CSK)
MJ Santner,Mumbai Indians (MI)
SA Yadav,Gujarat Titans (GT)
Fazalhaq Farooqi,Rajasthan Royals (RR)
KR Sen,Punjab Kings (PBKS)
Priyansh Arya,Punjab Kings (PBKS)
SB Dubey,Punjab Kings (PBKS)
V Nigam,Delhi Capitals (DC)
PVD Chameera,Delhi Capitals (DC)
NT Ellis,Chennai Super Kings (CSK)
Aniket Verma,Sunrisers Hyderabad (SRH)
SN Khan,Punjab Kings (PBKS)
B Kumar,Delhi Capitals (DC)
Prince Yadav,Lucknow Super Giants (LSG)
XC Bartlett,Punjab Kings (PBKS)
RK Singh,Royal Challengers Bengaluru (RCB)
I Sharma,Rajasthan Royals (RR)
V Suryavanshi,Rajasthan Royals (RR)
E Malinga,Sunrisers Hyderabad (SRH)
V Puthur,Mumbai Indians (MI)
