Player,Role,Specific_Role,Nationality,Bowling_Style,Auction_Price,Power_Index,Batting_SR,Batting_Avg,Bw_WPM,Bowling_Econ
RR Pant,Batter,,,,9.7,64.41,141.86507936507937,32.5,0.0,0.0
SO Hetmyer,Batter,,,,9.6,64.24,143.13725490196077,29.863636363636363,0.0,0.0
AM Rahane,Batter,,,,9.6,64.14,143.4131736526946,29.03030303030303,0.0,0.0
Abishek Porel,Batter,,,,9.6,64.07,145.59471365638768,25.423076923076923,0.0,0.0
Ishan Kishan,Batter,,,,9.6,63.89,142.24464060529633,29.68421052631579,0.0,24.0
A Raghuvanshi,Batter,,,,9.5,63.65,142.0245398773006,28.9375,0.0,0.0
KL Rahul,Batter,,,,9.5,63.53,132.14990138067063,43.225806451612904,0.0,0.0
MK Lomror,Batter,,,,9.4,62.99,148.57142857142858,16.25,0.0,9.142857142857142
RA Jadeja,All-Rounder,,,,9.4,62.84,135.84229390681003,36.095238095238095,0.8636363636363636,7.6647398843930645
DJ Mitchell,Batter,,,,9.4,62.77,139.4736842105263,28.90909090909091,0.5,10.736842105263158
LS Livingstone,All-Rounder,,,,9.4,62.74,144.6685878962536,25.1,0.5,8.807017543859649
DA Miller,Batter,,,,9.4,62.49,136.10503282275712,32.73684210526316,0.0,0.0
R Tewatia,Batter,,,,9.4,62.44,142.20532319391634,23.375,0.0,6.0
Atharva Taide,Batter,,,,9.4,62.36,138.29787234042556,28.88888888888889,0.0,24.0
V Shankar,Batter,,,,9.3,62.16,136.04336043360433,31.375,0.0,0.0
R Ravindra,Batter,,,,9.3,62.15,138.59060402684565,27.533333333333335,0.0,3.5
N Wadhera,Batter,,,,9.3,62.14,137.73946360153258,28.76,0.0,7.764705882352942
KR Mayers,Batter,,,,9.3,62.09,137.31884057971016,29.153846153846153,0.0,7.173913043478261
K Gowtham,All-Rounder,,,,9.3,62.04,138.63636363636365,30.5,0.42857142857142855,7.539823008849558
RG Sharma,Batter,,,,9.3,62.01,138.43416370106763,27.13953488372093,0.0,0.0
N Rana,All-Rounder,,,,9.3,61.84,140.29227557411275,28.0,0.375,8.363636363636363
AR Patel,All-Rounder,,,,9.3,61.68,137.01754385964912,30.03846153846154,0.6923076923076923,7.569948186528498
HH Pandya,All-Rounder,,,,9.2,61.57,141.36690647482015,23.818181818181817,0.7567567567567568,9.054009819967266
PP Shaw,Batter,,,,9.2,61.45,141.3953488372093,20.266666666666666,0.0,0.0
S Dhawan,Batter,,,,9.2,61.34,131.25,35.0,0.0,0.0
A Badoni,Batter,,,,9.2,61.14,133.4442595673877,30.846153846153847,0.4,9.91304347826087
SN Thakur,All-Rounder,,,,9.1,60.94,144.76190476190476,15.2,0.9642857142857143,9.394594594594594
Sameer Rizvi,Batter,,,,9.1,60.76,136.5079365079365,24.571428571428573,0.0,0.0
DA Warner,Batter,,,,8.9,59.54,127.61194029850746,32.57142857142857,0.0,0.0
AT Rayudu,Batter,,,,8.9,59.06,137.3913043478261,15.8,0.0,0.0
AK Markram,All-Rounder,,,,8.8,58.82,131.74603174603175,27.666666666666668,0.38461538461538464,8.492307692307692
PN Mankad,Batter,,,,8.8,58.52,125.67567567567568,31.0,0.0,0.0
Q de Kock,Batter,,,,8.8,58.5,129.76190476190476,24.772727272727273,0.0,0.0
Arshad Khan,All-Rounder,,,,8.7,58.23,132.22222222222223,23.8,0.6666666666666666,9.653979238754324
Anuj Rawat,Batter,,,,8.7,58.18,124.3421052631579,31.5,0.0,0.0
RV Patel,Batter,,,,8.7,57.73,111.36363636363636,49.0,0.0,0.0
PHKD Mendis,Batter,,,,8.6,57.41,127.77777777777777,23.0,0.5,8.571428571428571
Washington Sundar,All-Rounder,,,,8.6,57.4,130.4054054054054,24.125,0.42857142857142855,9.694581280788178
Nithish Kumar Reddy,All-Rounder,,,,8.6,57.24,126.96335078534031,28.529411764705884,0.4166666666666667,9.513157894736842
Rahmanullah Gurbaz,Batter,,,,8.6,57.21,128.26855123674912,21.352941176470587,0.0,0.0
MA Agarwal,Batter,,,,8.5,57.0,125.0728862973761,25.235294117647058,0.0,0.0
Sikandar Raza,All-Rounder,,,,8.5,56.86,127.27272727272727,26.0,0.42857142857142855,9.068181818181818
SM Curran,All-Rounder,,,,8.5,56.55,124.29378531073448,27.5,0.84375,9.722488038277513
R Powell,Batter,,,,8.4,56.3,132.183908045977,11.5,1.0,6.857142857142857
RA Tripathi,Batter,,,,8.4,56.26,124.81012658227849,22.40909090909091,0.0,0.0
D Padikkal,Batter,,,,8.4,55.79,124.373576309795,21.0,0.0,0.0
MG Bracewell,All-Rounder,,,,8.3,55.45,118.36734693877551,29.0,1.2,8.636363636363637
MK Pandey,Batter,,,,8.2,54.94,118.07228915662651,26.727272727272727,0.0,0.0
WP Saha,Batter,,,,8.2,54.67,121.58273381294964,20.28,0.0,0.0
Azmatullah Omarzai,All-Rounder,,,,8.2,54.63,128.57142857142858,12.375,0.8,9.02
Anmolpreet Singh,Batter,,,,8.2,54.45,122.22222222222223,18.333333333333332,0.0,0.0
Harpreet Singh,Batter,,,,8.1,54.17,110.75268817204301,34.333333333333336,0.0,0.0
HC Brook,Batter,,,,8.1,54.15,119.49685534591194,21.11111111111111,0.0,0.0
Harpreet Brar,All-Rounder,,,,8.1,53.96,121.05263157894737,19.714285714285715,0.8387096774193549,7.924528301886792
MM Ali,All-Rounder,,,,8.1,53.87,120.65727699530517,19.76923076923077,0.85,7.809836065573771
MW Short,Batter,,,,8.0,53.33,118.18181818181819,19.5,0.0,5.76
KH Pandya,All-Rounder,,,,7.9,52.71,115.28150134048258,22.63157894736842,0.8205128205128205,7.465587044534413
JC Archer,All-Rounder,,,,7.9,52.63,121.81818181818183,13.4,0.7647058823529411,8.337292161520189
SS Prabhudessai,Batter,,,,7.9,52.51,115.68627450980394,19.666666666666668,0.0,0.0
Shahbaz Ahmed,All-Rounder,,,,7.9,52.43,119.81981981981981,19.0,0.391304347826087,10.477272727272727
PBB Rajapaksa,Batter,,,,7.8,51.8,110.9375,23.666666666666668,0.0,0.0
Vishnu Vinod,Batter,,,,7.6,50.82,115.625,12.333333333333334,0.0,0.0
R Ashwin,All-Rounder,,,,7.6,50.48,115.527950310559,12.4,0.8611111111111112,7.613744075829384
A Manohar,Batter,,,,7.5,50.06,112.19512195121952,14.153846153846153,0.0,0.0
M Jansen,All-Rounder,,,,7.2,48.1,105.60000000000001,16.5,1.08,8.571428571428571
N Jagadeesan,Batter,,,,7.2,48.07,105.95238095238095,14.833333333333334,0.0,0.0
SK Rasheed,Batter,,,,7.2,47.94,105.97014925373134,14.2,0.0,0.0
DJ Hooda,Batter,,,,7.2,47.74,106.99588477366255,11.818181818181818,0.0,8.0625
Harshit Rana,All-Rounder,,,,7.1,47.13,103.63636363636364,14.25,1.3,8.787037037037036
Aman Hakim Khan,Batter,,,,7.1,47.08,103.77358490566037,13.75,0.0,0.0
MJ Santner,All-Rounder,,,,6.7,44.88,100.0,11.2,0.7894736842105263,7.190348525469169
Lalit Yadav,All-Rounder,,,,6.7,44.69,102.7027027027027,10.857142857142858,0.3333333333333333,10.2
Kuldeep Yadav,All-Rounder,,,,6.6,43.7,87.27272727272727,24.0,1.0512820512820513,7.42087542087542
T Kohler-Cadmore,Batter,,,,6.4,42.5,88.88888888888889,16.0,0.0,0.0
PWH de Silva,All-Rounder,,,,6.3,41.99,93.33333333333333,8.4,1.0526315789473684,8.76056338028169
SN Khan,Batter,,,,6.1,40.7,85.48387096774194,13.25,0.0,0.0
Tanush Kotian,Batter,,,,5.9,39.57,75.0,24.0,0.0,0.0
HV Patel,All-Rounder,,,,5.4,36.13,76.92307692307693,5.714285714285714,1.35,8.519337016574585
B Kumar,All-Rounder,,,,5.4,35.87,75.23809523809524,8.777777777777779,1.0,8.468812877263582
Ravi Bishnoi,All-Rounder,,,,5.2,34.73,74.0,6.166666666666667,0.8974358974358975,8.444171779141104
MA Wood,Bowler,,,,2.7,17.86,220.00000000000003,11.0,2.75,7.2941176470588225
JJ Bumrah,Bowler,,,,1.8,11.87,92.3076923076923,12.0,1.52,6.0875202593192865
E Malinga,Bowler,,,,1.8,11.75,0.0,0.0,1.8571428571428572,8.472727272727273
M Prasidh Krishna,Bowler,,,,1.7,11.19,0.0,0.0,1.6666666666666667,7.862637362637363
M Pathirana,Bowler,,,,1.6,10.92,0.0,0.0,1.5,7.06359945872801
JR Hazlewood,Bowler,,,,1.6,10.8,33.33333333333333,1.0,1.6666666666666667,8.311926605504587
CV Varun,Bowler,,,,1.5,10.0,16.666666666666664,2.0,1.4146341463414633,7.563829787234043
